"State","Poverty_Rate","Obesity_Prevelance","YearStart","Average_No_Physical_Activity"
"New Mexico",18.3,"25.7",2020,23.9342105263158
"New Mexico",18.3,"25.7",2021,23.9342105263158
"New Mexico",18.3,"25.7",2022,23.9342105263158
"Mississippi",17.8,"34.8",2020,31.1985294117647
"Mississippi",17.8,"34.8",2021,31.1985294117647
"Mississippi",17.8,"34.8",2022,31.1985294117647
"Louisiana",16.9,"36.1",2020,28.8961038961039
"Louisiana",16.9,"36.1",2021,28.8961038961039
"Louisiana",16.9,"36.1",2022,28.8961038961039
"Arkansas",15.8,"36.6",2020,30.7078947368421
"Arkansas",15.8,"36.6",2021,30.7078947368421
"Arkansas",15.8,"36.6",2022,30.7078947368421
"Oklahoma",15.8,"37.4",2020,29.4947368421053
"Oklahoma",15.8,"37.4",2021,29.4947368421053
"Oklahoma",15.8,"37.4",2022,29.4947368421053
"Kentucky",15.8,"38.0",2020,29.9291666666667
"Kentucky",15.8,"38.0",2022,29.9291666666667
"Kentucky",15.8,"38.0",2021,29.9291666666667
"West Virginia",15.5,"40.3",2020,29.7861111111111
"West Virginia",15.5,"40.3",2022,29.7861111111111
"West Virginia",15.5,"40.3",2021,29.7861111111111
"Alabama",14.8,"36.0",2020,30.2135135135135
"Alabama",14.8,"36.0",2021,30.2135135135135
"Alabama",14.8,"36.0",2022,30.2135135135135
"District of Columbia",14.7,"12.9",2020,19.6618421052632
"District of Columbia",14.7,"12.9",2021,19.6618421052632
"District of Columbia",14.7,"12.9",2022,19.6618421052632
"Texas",13.7,"32.2",2020,25.9125
"Texas",13.7,"32.2",2021,25.9125
"Texas",13.7,"32.2",2022,25.9125
"South Carolina",13.3,"32.6",2020,26.8272727272727
"South Carolina",13.3,"32.6",2021,26.8272727272727
"South Carolina",13.3,"32.6",2022,26.8272727272727
"North Carolina",13.3,"31.3",2020,24.1102564102564
"North Carolina",13.3,"31.3",2021,24.1102564102564
"North Carolina",13.3,"31.3",2022,24.1102564102564
"Florida",13.1,"Insufficient data*",2020,26.6679245283019
"Florida",13.1,"Insufficient data*",2022,26.6679245283019
"Georgia",13,"32.6",2020,25.8625
"Georgia",13,"32.6",2021,25.8625
"Georgia",13,"32.6",2022,25.8625
"Nevada",12.6,"31.3",2020,26.225
"Nevada",12.6,"31.3",2021,26.225
"Nevada",12.6,"31.3",2022,26.225
"New York",12.4,"27.9",2020,27.5634146341463
"New York",12.4,"27.9",2021,27.5634146341463
"New York",12.4,"27.9",2022,27.5634146341463
"Arizona",12.1,"27.9",2020,23.7325
"Arizona",12.1,"27.9",2022,23.7325
"Arizona",12.1,"27.9",2021,23.7325
"Michigan",11.7,"34.3",2020,23.8518987341772
"Michigan",11.7,"34.3",2022,23.8518987341772
"Michigan",11.7,"34.3",2021,23.8518987341772
"Alaska",11.5,"30.6",2020,23.0126582278481
"Alaska",11.5,"30.6",2022,23.0126582278481
"Alaska",11.5,"30.6",2021,23.0126582278481
"Missouri",11.5,"35.5",2020,26.6215189873418
"Missouri",11.5,"35.5",2021,26.6215189873418
"Missouri",11.5,"35.5",2022,26.6215189873418
"Tennessee",11.4,"35.0",2020,27.7092105263158
"Tennessee",11.4,"35.0",2021,27.7092105263158
"Tennessee",11.4,"35.0",2022,27.7092105263158
"Ohio",11.4,"36.7",2020,26.9375
"Ohio",11.4,"36.7",2021,26.9375
"Ohio",11.4,"36.7",2022,26.9375
"California",11.4,"25.8",2020,21.8746835443038
"California",11.4,"25.8",2021,21.8746835443038
"California",11.4,"25.8",2022,21.8746835443038
"Indiana",10.9,"36.7",2020,28.07625
"Indiana",10.9,"36.7",2022,28.07625
"Indiana",10.9,"36.7",2021,28.07625
"Pennsylvania",10.8,"32.8",2020,25.1466666666667
"Pennsylvania",10.8,"32.8",2021,25.1466666666667
"Pennsylvania",10.8,"32.8",2022,25.1466666666667
"Montana",10.7,"29.3",2020,20.8972222222222
"Montana",10.7,"29.3",2021,20.8972222222222
"Montana",10.7,"29.3",2022,20.8972222222222
"Delaware",10.5,"33.5",2020,27.1973333333333
"Delaware",10.5,"33.5",2021,27.1973333333333
"Delaware",10.5,"33.5",2022,27.1973333333333
"Hawaii",10.2,"19.7",2020,20.8897435897436
"Hawaii",10.2,"19.7",2021,20.8897435897436
"Hawaii",10.2,"19.7",2022,20.8897435897436
"Connecticut",9.8,"28.3",2020,24.4675324675325
"Connecticut",9.8,"28.3",2021,24.4675324675325
"Connecticut",9.8,"28.3",2022,24.4675324675325
